scenario,metric,preferred_direction,median_delta,p05_delta,p95_delta,win_share
Reflux 2% max,min_R_over_R0,higher,0.005282085334421746,-0.0010843995974079625,0.030158342971335125,0.94
Reflux 2% max,final_R_over_R0,higher,-0.00017686988707760198,-0.2761964917349755,0.15051642006472046,0.4
Reflux 2% max,max_B,lower,467.4076076490703,109.0960918914804,1370.3234055263886,0.02
Reflux 2% max,stress_share,lower,0.1557377049180328,0.02008196721311478,0.36407103825136605,0.04
Yin 5%,min_R_over_R0,higher,0.0005277168399936832,-0.036141622584655655,0.0038990866466301886,0.54
Yin 5%,final_R_over_R0,higher,-0.08455498421686714,-0.4458600029294866,0.14516017053989755,0.32
Yin 5%,max_B,lower,-928.615162847831,-1338.0943878561775,-264.7945893130203,0.98
Yin 5%,stress_share,lower,-0.06420765027322409,-0.2938524590163935,0.11256830601092889,0.7
Yin 5% + reflux 2%,min_R_over_R0,higher,0.0015187480973200412,-0.025936373938746378,0.008777060106326855,0.58
Yin 5% + reflux 2%,final_R_over_R0,higher,-4.412668742070913e-07,-0.32203274537980686,0.20185899806013702,0.46
Yin 5% + reflux 2%,max_B,lower,-680.8439599515488,-1109.0566692279208,-167.58544138817817,1.0
Yin 5% + reflux 2%,stress_share,lower,-0.08333333333333331,-0.2814207650273225,0.1124316939890709,0.8
