run,seed,scenario,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
1,202600,DLE baseline,0.16516148332258196,0.5400773339458089,3118.344440392875,1461.472938826394,0.7950819672131147,0.8519232907851508,0.653415234175359,211.8071947338517,550.0,0.0,0.0,40883.0331763054,21075.633904107628,0.0
1,202600,Yin 5%,0.16806686380040634,0.4361751361130429,1765.6609345705335,837.2073737378786,0.6775956284153005,0.8436154495312388,0.6545051030852554,200.50075725410989,1526.9639632638964,976.9639632638986,0.0,36123.80288800178,19494.762273094268,-2.1600499167107046e-12
1,202600,Reflux 2% max,0.1668871683859828,0.5297442298883097,3499.450606002946,1438.3555001778993,0.819672131147541,0.8486883251649543,0.653210882198972,207.43873130926303,278.6590845791029,0.0,271.34091542089783,41973.247144078996,21367.59992957639,7.389644451905042e-13
1,202600,Yin 5% + reflux 2%,0.16912205030978122,0.7325652760356012,2169.7969322726744,1891.2678701497389,0.644808743169399,0.8428428141065379,0.6528147781863054,277.8481513830142,1323.9924947472402,1029.771694623405,255.77919987616278,37155.32730305234,20548.97154290673,-1.9326762412674725e-12
2,202601,DLE baseline,0.12786345266493876,0.9580944042768738,2638.310768148133,2059.2491457678743,0.6967213114754098,0.8542464844705846,0.6528777601513707,275.2231644755226,550.0,0.0,0.0,42771.58051892475,22557.017273196954,0.0
2,202601,Yin 5%,0.12967940721641485,0.5305655255876217,1459.896647839772,1086.58466905595,0.7103825136612022,0.8399486307030096,0.6534577754023343,193.4260937767968,1537.3092156647674,987.3092156647745,0.0,36151.06262445236,19710.076126564894,-7.048583938740194e-12
2,202601,Reflux 2% max,0.1329495318179419,0.9579878192129678,2796.808058841244,2234.9074662983553,0.7950819672131147,0.8533661682455816,0.6528293388213046,263.0648266488398,248.47669238988192,0.0,301.5233076101206,43419.0727725302,22479.4461762516,2.5011104298755527e-12
2,202601,Yin 5% + reflux 2%,0.12910734314420563,0.6726217925058526,1551.541023356103,1292.7129563563738,0.7185792349726776,0.8430938835746936,0.653457775402083,222.0151345065333,1305.537562563467,1019.2243967382966,263.68683417483044,37571.86589505114,20349.761081145043,7.958078640513122e-13
3,202602,DLE baseline,0.13063030408050819,0.8693550187738863,2546.8714224119194,2157.451522092542,0.7704918032786885,0.858805024594629,0.6539321740409343,317.1481425281053,550.0,0.0,0.0,42008.404610926984,21714.065167371627,0.0
3,202602,Yin 5%,0.13396677046944747,0.4084968232842079,1368.4600465665653,601.5995864340216,0.7158469945355191,0.8438402394733938,0.653932174059999,198.1686897036446,1499.3968857310138,949.3968857310148,0.0,36621.21667267225,18950.28677225048,-1.0231815394945443e-12
3,202602,Reflux 2% max,0.1339699733890327,0.7599457078409032,2520.6224935547575,1838.8031801768693,0.7240437158469946,0.8591531334598674,0.6533400262601089,282.1686751725119,284.30997904592203,0.0,265.6900209540765,44160.79706949948,22393.074663929092,-1.4779288903810084e-12
3,202602,Yin 5% + reflux 2%,0.13410646585390618,0.4530545331750878,1471.9489444926376,867.262563212299,0.7240437158469946,0.8461281433000034,0.6539321740595636,207.4284492085895,1288.213876963309,977.0308866746391,238.81700971132753,37261.41695897006,19495.755143424554,-2.4442670110147446e-12
4,202603,DLE baseline,0.16223341717169437,0.8021323970042449,3106.275458372456,2607.5286241952817,0.6530054644808743,0.8387782437280102,0.6528151438181664,255.62283401164174,550.0,0.0,0.0,41733.86534699082,22700.401230512332,0.0
4,202603,Yin 5%,0.1649654890220764,0.6189376167196347,1913.3678000202126,1262.5539019942864,0.46174863387978143,0.8222211279018689,0.6528140307335163,230.5472514807856,1590.5791836812123,1040.5791836812116,0.0,36124.63152792025,20776.034832766698,6.821210263296962e-13
4,202603,Reflux 2% max,0.16883633271106557,0.7640517870712257,3619.4071842134535,2707.621674579161,0.8169398907103825,0.8370902035273369,0.6528131634487897,244.54208709184988,230.29086906963374,0.0,319.70913093036637,42370.079357395945,22788.721166584386,1.1368683772161603e-13
4,202603,Yin 5% + reflux 2%,0.1642691216528095,0.9511094552200593,2244.574732804873,2005.844748730772,0.39344262295081966,0.8261664417849909,0.652811781938048,282.70142294058957,1335.6692386348743,1127.015339029532,341.34610039465593,38733.502738171155,22496.83213106999,-1.7621459846850485e-12
5,202604,DLE baseline,0.1963547110244771,0.9301028850969185,2941.3617721596497,2747.1662180552007,0.8032786885245902,0.8395037203324734,0.6531352216573977,256.9081267429698,550.0,0.0,0.0,39367.74747691481,20866.564788958516,0.0
5,202604,Yin 5%,0.19730137891351668,0.863234379992792,1664.5580171866686,1053.0570134751097,0.674863387978142,0.8261794338208486,0.6533423216489008,263.37656224249025,1525.013305786959,975.0133057869563,0.0,35884.39445921572,19454.75213206395,2.8421709430404007e-12
5,202604,Reflux 2% max,0.1993494860224708,0.9271816465541614,3267.4048105922043,2588.372583974769,0.819672131147541,0.8380069055396138,0.6529721448745553,249.09058521828334,274.9628613741526,0.0,275.037138625849,40804.70107505491,21299.697634209155,1.6484591469634324e-12
5,202604,Yin 5% + reflux 2%,0.20034574936794036,0.957948773062961,1846.7670389874258,1797.520760849137,0.5737704918032787,0.8248439378473036,0.6528115998028166,268.98904005339085,1312.7096151218136,1037.5250206067267,274.815405484913,37032.329591732996,20703.15334786422,-5.684341886080802e-14
